sampno,chhwgt,cexphhwgt,hctfip
7104697,1.150498931,450.4413905,37
7104787,0.820789791,321.3542269,37
7104827,0.846681412,331.4912703,37
7104895,0.620516983,242.943757,37
7104918,1.746226492,683.6796346,37
7104938,0.748404586,293.0140941,37
7104940,0.739289172,289.4452429,37
7105054,1.17271428,459.1391061,37
7105064,0.807121682,316.0029123,37
7105086,0.843047026,330.068342,37
7105095,0.811438779,317.6931346,37
7105168,1.807073215,707.5022404,37
7105206,0.739289172,289.4452429,37
7105215,0.834577372,326.7523172,37
7105240,0.863407279,338.0397536,37
7105286,1.850154474,724.3693419,37
7105322,1.031205761,403.7359309,37
7105376,1.137165468,445.2210955,37
7105443,0.922612804,361.2198004,37
7105524,0.321986487,112.7094662,71
7105532,0.884128803,309.4840607,71
7105547,0.527842542,184.7681611,71
7105679,0.418847659,146.6151468,71
7105768,1.276591469,446.8632967,71
7105779,1.094473552,383.1139965,71
7105800,0.633721682,221.8305284,71
7105813,1.501137211,525.4642062,71
7105886,1.541809911,539.7014443,71
7105912,1.133556349,443.8080592,37
7106143,0.942628084,369.0561487,37
7106268,0.58777643,230.1252312,37
7106324,0.838135122,328.1452417,37
7106396,1.285653879,503.3570265,37
7106580,1.122064732,439.3088811,37
7106672,0.863407279,338.0397536,37
7106720,1.870521915,732.3435681,37
7106724,1.285653879,503.3570265,37
7106768,1.717915265,672.5952713,37
7106779,1.055598487,413.2861295,37
7106807,1.381306094,540.8066194,37
7106875,0.401489146,157.1903497,37
7106885,0.994817005,389.4890667,37
7106946,0.503281315,197.043847,37
7106961,0.768450273,300.8623476,37
7107036,0.682541727,267.2275795,37
7107049,0.835367934,327.0618369,37
7107096,0.866645789,339.3076896,37
7107126,0.656309445,256.957161,37
7107139,0.863407279,338.0397536,37
7107178,0.427387554,167.3300502,37
7107232,0.762124098,298.3855345,37
