sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
2281511,3,1,0,0,0,0,0,0
2291208,1,1,10,6,4,0,4,4
2291208,2,1,6,6,0,0,0,0
2295627,1,1,0,0,0,0,0,0
2483552,1,1,9,8,1,0,1,1
2487482,1,1,6,7,-1,1,0,0
2487482,2,1,4,4,0,0,0,0
2492506,1,1,5,5,0,0,0,0
2492506,2,1,4,4,0,0,0,0
2496311,1,1,4,4,0,0,0,0
2496311,2,1,2,2,0,0,0,0
2498788,1,1,3,4,-1,1,0,0
2500911,1,1,2,2,0,0,0,0
2500911,2,1,0,0,0,0,0,0
2510248,1,1,6,4,2,0,2,2
2510248,2,1,4,4,0,0,0,0
2513557,1,1,0,0,0,0,0,0
2513557,2,1,2,2,0,0,0,0
2514178,1,1,3,3,0,0,0,0
2514178,2,1,4,4,0,0,0,0
2517401,1,1,2,2,0,0,0,0
2517401,2,1,4,3,1,0,1,1
2518082,1,1,0,0,0,0,0,0
2518082,2,1,0,0,0,0,0,0
2518996,1,1,3,3,0,0,0,0
2518996,2,1,11,11,0,0,0,0
2518996,3,1,0,0,0,0,0,0
2525166,1,1,0,0,0,0,0,0
2525166,2,1,5,4,1,0,1,1
2525166,3,1,0,0,0,0,0,0
2526824,1,1,11,4,7,0,8,8
2526824,2,1,5,2,3,0,3,3
2527998,2,1,10,8,2,0,2,2
2527998,3,1,0,0,0,0,0,0
2537814,1,1,5,5,0,0,0,0
2537814,2,1,0,0,0,0,0,0
2538023,1,1,18,9,9,0,9,9
2550511,1,1,2,2,0,0,0,0
2552032,1,1,4,4,0,0,0,0
2552032,2,1,5,4,1,0,1,1
2552032,3,1,5,5,0,0,0,0
2552758,1,1,8,4,4,0,4,3
2552758,2,1,2,2,0,0,0,0
2552832,1,1,0,0,0,0,0,0
2552832,2,1,8,7,1,3,4,4
2555550,1,1,6,6,0,0,0,0
2555550,2,1,3,2,1,0,1,1
2556033,1,1,4,3,1,0,1,1
2556033,2,1,4,5,-1,1,0,0
2557083,1,1,8,9,-1,5,4,3
2561298,1,1,10,7,3,0,3,3
2562300,1,1,5,5,0,0,0,0
2564708,1,1,4,4,0,0,0,0
2569231,1,1,2,2,0,0,0,0
2569231,2,1,6,6,0,0,0,0
2569979,1,1,0,0,0,0,0,0
2569979,2,1,3,2,1,0,1,1
2572796,1,1,8,4,4,1,5,5
2572796,2,1,7,2,5,0,5,5
2572796,3,1,5,3,2,1,3,3
2576463,1,1,3,3,0,0,0,0
2576463,2,1,0,0,0,0,0,0
2576484,1,1,8,4,4,0,4,3
2577440,1,1,0,0,0,0,0,0
2577440,2,1,4,5,-1,1,0,0
2578322,1,1,2,2,0,0,0,0
2578322,2,1,3,3,0,0,0,0
2581661,1,1,0,0,0,0,0,0
2581661,2,1,0,0,0,0,0,0
2588463,1,1,0,0,0,0,0,0
2588463,2,1,9,9,0,4,0,0
2592356,1,1,5,5,0,0,0,0
2592356,2,1,0,0,0,0,0,0
2592356,3,1,4,3,1,0,1,0
2594688,1,1,6,5,1,0,1,1
2594688,2,1,7,6,1,0,1,1
2597985,1,1,11,11,0,0,0,0
2601214,1,1,4,4,0,0,0,0
2601214,2,1,2,2,0,0,0,0
2609398,1,1,2,9,-7,7,0,0
2611413,1,1,6,4,2,0,2,2
2611413,2,1,4,3,1,0,1,1
2611413,3,1,5,5,0,0,0,0
2614633,1,1,4,2,2,0,2,2
2621146,1,1,2,2,0,0,0,0
2621146,2,1,4,4,0,0,0,0
2626517,1,1,7,7,0,0,0,0
2638244,1,1,17,14,3,0,3,3
2638244,2,1,3,2,1,0,1,1
2643323,1,1,6,6,0,0,0,0
2643742,1,1,3,2,1,0,1,1
2643742,2,1,8,7,1,0,1,1
2643778,1,1,4,3,1,1,2,2
2643945,1,1,5,6,-1,3,2,2
2643945,2,1,5,3,2,0,2,2
2645047,1,1,6,3,3,0,3,2
2645047,2,1,8,4,4,0,4,3
2645047,3,1,0,0,0,0,0,0
2646999,1,1,18,10,8,0,8,8
2646999,2,1,0,0,0,0,0,0
2647188,1,1,11,8,3,0,3,3
2647188,2,1,8,6,2,0,2,2
2649003,1,1,7,6,1,0,1,1
2649003,2,1,2,6,-4,4,0,0
2650170,1,1,2,5,-3,3,0,0
2650170,2,1,11,7,4,0,4,4
2652089,1,1,3,3,0,0,0,0
2652089,2,1,6,5,1,0,1,1
2653286,1,1,11,8,3,0,3,2
2653286,2,1,0,0,0,0,0,0
2654851,1,1,8,8,0,0,0,0
2654851,3,1,3,3,0,0,0,0
2654878,1,1,4,4,0,0,0,0
2654878,2,1,0,0,0,0,0,0
2654878,3,1,0,0,0,0,0,0
2655433,1,1,3,2,1,0,1,1
2655433,2,1,2,2,0,0,0,0
2656998,1,1,2,2,0,0,0,0
2656998,2,1,0,0,0,0,0,0
2658298,1,1,8,8,0,0,0,0
