sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
1260457,6051,30,5,3,2012-02-24 00:00:00,5,68,4,1,1,1,1,1,REDACTED
1264399,6053,23,2,2,2012-03-06 00:00:00,8,10,8,1,1,1,1,1,REDACTED
1282541,6065,4,1,1,2012-02-19 00:00:00,5,30,4,1,1,1,1,1,REDACTED
1290034,6071,4,2,2,2012-03-04 00:00:00,8,59,8,1,1,1,2,1,REDACTED
1302642,6075,11,1,1,2012-02-29 00:00:00,0,14,0,1,1,1,1,1,REDACTED
1309284,6083,25,1,1,2012-02-08 00:00:00,7,5,6,1,1,1,3,1,REDACTED
1325736,6107,22,1,1,2012-03-13 00:00:00,6,16,6,1,1,1,1,1,REDACTED
1333141,6113,15,1,1,2012-03-14 00:00:00,2,37,2,1,1,1,1,1,REDACTED
1390363,6017,15,4,3,2012-02-12 00:00:00,6,0,5,1,1,1,2,1,REDACTED
1411889,6073,14,3,3,2012-05-19 00:00:00,11,87,10,1,1,1,2,1,REDACTED
1454465,6037,3,1,1,2012-03-22 00:00:00,4,10,4,1,1,1,1,1,REDACTED
1521424,6081,12,1,1,2012-04-21 00:00:00,0,17,0,1,1,1,2,1,REDACTED
1682456,6087,23,2,2,2012-07-06 00:00:00,0,93,0,1,1,1,3,1,REDACTED
1699793,6089,26,2,2,2012-06-14 00:00:00,19,37,17,1,1,1,3,1,REDACTED
1730973,6037,3,2,1,2012-07-22 00:00:00,0,35,0,1,1,1,3,1,REDACTED
1738720,6095,10,2,2,2012-06-06 00:00:00,0,0,0,1,1,1,2,1,REDACTED
1742095,6093,18,2,2,2012-07-15 00:00:00,12,74,8,1,1,1,3,1,REDACTED
1773708,6075,11,1,1,2012-06-07 00:00:00,5,23,5,1,1,1,3,1,REDACTED
1856374,6079,25,3,3,2012-07-13 00:00:00,8,53,8,1,1,1,3,1,REDACTED
2016749,6005,29,4,3,2012-07-27 00:00:00,4,31,4,1,1,1,3,1,REDACTED
2017211,6007,26,1,1,2012-10-18 00:00:00,0,16,0,1,1,1,4,1,REDACTED
2045730,6029,22,3,3,2012-11-01 00:00:00,16,53,17,1,1,1,4,1,REDACTED
2065077,6037,3,1,1,2012-07-09 00:00:00,1,18,2,1,1,1,3,1,REDACTED
2067735,6037,3,2,1,2012-10-20 00:00:00,1,50,2,1,1,1,5,1,REDACTED
2077038,6037,3,1,1,2012-10-01 00:00:00,2,7,2,1,1,1,4,1,REDACTED
2097623,6037,3,2,2,2012-10-22 00:00:00,5,20,6,1,1,1,4,1,REDACTED
2118071,6037,3,3,3,2012-10-06 00:00:00,14,41,14,1,1,1,4,1,REDACTED
2124189,6045,21,2,2,2012-06-29 00:00:00,3,20,3,1,1,1,3,1,REDACTED
